id,est_p_age_le_18,est_p_age_19_29,est_p_age_30_39,est_p_age_ge_40,est_p_gender_male,est_p_gender_female,est_p_is_org,est_p_is_non_org
41940890,0.0972,0.094,0.3053,0.5035,0.9016,0.0984,0.0941,0.9059
65402809,0.0226,0.0925,0.4759,0.409,0.0818,0.9182,0.0471,0.9529
2293353366,0.0763,0.0896,0.5683,0.2658,0.2845,0.7155,0.2375,0.7625
544429125,0.0739,0.0242,0.3279,0.574,0.876,0.124,0.5669,0.4331
1008138976547561500,0.2665,0.0886,0.218,0.4269,0.6912,0.3088,0.7555,0.2445
20285516,0.1218,0.0303,0.3784,0.4695,0.1144,0.8856,0.151,0.849
741258851215913e3,0.1566,0.4273,0.3823,0.0339,0.03,0.97,0.0098,0.9902
2239848210,0.0048,0.0024,0.0446,0.9483,0,1,0.0141,0.9859
1591116517,0.0074,0.0057,0.2062,0.7807,0.0188,0.9812,0.0904,0.9096
3309798409,0.0214,0.0177,0.2204,0.7404,0.9782,0.0218,0.3142,0.6858
713487168023433200,0.0591,0.016,0.4417,0.4833,0.9655,0.0345,0.1108,0.8892
29398698,0.0229,0.134,0.5112,0.332,0.0215,0.9785,0.1725,0.8275
1285755077937045500,0.2773,0.1708,0.333,0.2189,0.7342,0.2658,0.4895,0.5105
4751085693,0.6624,0.186,0.0699,0.0818,0.8348,0.1652,0.2172,0.7828
1569734394,0.0747,0.0271,0.2737,0.6245,0.6044,0.3956,0.3973,0.6027
1400935111,0.6259,0.1003,0.0797,0.1941,0.6533,0.3467,0.7139,0.2861
1061345798166904800,0.0739,0.1346,0.3989,0.3926,0.1907,0.8093,0.1914,0.8086
932908795,0.0215,0.0869,0.4864,0.4052,0.977,0.023,0.4331,0.5669
1283768005625819100,0.0839,0.0253,0.2465,0.6443,0.9769,0.0231,0.8445,0.1555
2299826742,0.9459,0.0327,0.011,0.0104,0.8677,0.1323,0.4955,0.5045
522579004,0.3087,0.5788,0.0921,0.0204,0.928,0.072,0.014,0.986
76077839,0.039,0.1674,0.5241,0.2696,0.745,0.255,0.1082,0.8918
707388676251238400,0.0387,0.2825,0.2752,0.4036,0.9532,0.0468,0.145,0.855
3088857280,0.0085,0.0024,0.0141,0.9751,0.1735,0.8265,0.296,0.704
190093284,0.2561,0.155,0.3008,0.2881,0.9913,0.0087,0.1742,0.8258
92787237,0.0223,0.0036,0.1204,0.8537,0.8405,0.1595,0.8894,0.1106
96476726,0.0273,0.0036,0.0774,0.8916,0.6811,0.3189,0.2055,0.7945
2802840792,0.2538,0.3697,0.3395,0.037,0.0693,0.9307,0.0071,0.9929
2964220449,0.1144,0.0879,0.3401,0.4575,0.9863,0.0137,0.2597,0.7403
775366566338662400,0.0277,0.0164,0.439,0.5168,0.0052,0.9948,0.1701,0.8299
1019051198177947600,0.0033,0.0071,0.4407,0.5489,1e-4,0.9999,0.0036,0.9964
3233120748,0.2539,0.0471,0.3084,0.3906,0.9632,0.0368,0.3235,0.6765
828960763297493e3,0.0221,0.0538,0.3355,0.5887,0.0165,0.9835,0.0855,0.9145
613729131,0.0104,0.0059,0.2293,0.7543,0.9948,0.0052,0.705,0.295
761116753791361e3,0.0291,0.1255,0.6824,0.163,0.9885,0.0115,0.0681,0.9319
1292541654444974e3,0.0548,0.0617,0.3273,0.5563,0.9905,0.0095,0.0916,0.9084
257983463,0.1421,0.1028,0.3587,0.3964,0.7476,0.2524,0.3943,0.6057
236284649,0.0202,0.0242,0.4366,0.519,0.976,0.024,0.1137,0.8863
984908093799583700,0.0281,0.0211,0.1298,0.8211,0.126,0.874,0.4454,0.5546
1041016907686531100,0.1166,0.2431,0.4324,0.2079,0.8351,0.1649,0.0342,0.9658
1187455098034761700,0.4933,0.2461,0.1397,0.1209,0.4146,0.5854,0.1289,0.8711
111442299,0.0137,0.0119,0.1166,0.8578,0.9239,0.0761,0.8925,0.1075
1269757226433970200,0.1481,0.0964,0.5978,0.1577,0.0254,0.9746,0.0785,0.9215
449296876,0.0168,0.004,0.2099,0.7693,0.0341,0.9659,0.7607,0.2393
21601866,0.0047,0.0108,0.4143,0.5701,0.9957,0.0043,0.3608,0.6392
2489085240,0.0084,0.001,0.0366,0.9541,0.0022,0.9978,0.4521,0.5479
1003305976085303300,0.0584,0.162,0.4532,0.3264,0.9703,0.0297,0.0803,0.9197
2801736090,0.0057,0.0166,0.3628,0.6149,0.049,0.951,0.8307,0.1693
386956538,0.4242,0.1053,0.1174,0.3531,0.7862,0.2138,0.7517,0.2483
106175745,0.0102,0.0142,0.3819,0.5937,0.9901,0.0099,0.1841,0.8159
420061083,0.0036,0.0022,0.4555,0.5387,0.9993,7e-4,0.6067,0.3933
803813695,0.0229,0.0069,0.1569,0.8133,0.7783,0.2217,0.2164,0.7836
636540671,0.1017,0.2372,0.5142,0.1469,0.8913,0.1087,0.0345,0.9655
1106214481628184600,0.1176,0.1079,0.4678,0.3067,0.9421,0.0579,0.0591,0.9409
91499854,0.0072,0.0063,0.2234,0.7631,0.0893,0.9107,0.1748,0.8252
347528931,0.0126,0.0294,0.7042,0.2538,0.9887,0.0113,0.1783,0.8217
77670648,0.0324,0.0418,0.4505,0.4753,0.997,0.003,0.2641,0.7359
254227999,0.1915,0.0632,0.3354,0.4099,0.0309,0.9691,0.4525,0.5475
1598174204,0.0026,0.0161,0.5229,0.4584,0.97,0.03,0.1446,0.8554
191243427,0.0179,0.0402,0.6182,0.3237,0.0471,0.9529,0.2312,0.7688
1305874271604965400,0.0311,0.0141,0.103,0.8519,0.0292,0.9708,0.6892,0.3108
559235840,0.4019,0.3892,0.1723,0.0366,0.9878,0.0122,0.0372,0.9628
1294800540497350700,0.0634,0.0778,0.5363,0.3225,0.9265,0.0735,0.2537,0.7463
1263226188,0.1196,0.0942,0.1682,0.618,0.751,0.249,0.1786,0.8214
848894604749549600,0.023,0.0166,0.5021,0.4582,0.009,0.991,0.2024,0.7976
468523366,0.0677,0.0177,0.1776,0.7369,0.9074,0.0926,0.0997,0.9003
985507718,0.131,0.6906,0.1213,0.0571,0.8555,0.1445,0.0208,0.9792
39867254,0.0113,8e-4,0.0915,0.8964,0.9616,0.0384,0.916,0.084
1133881834322968600,0.0455,0.0224,0.2764,0.6557,0.9715,0.0285,0.6084,0.3916
1319499762,0.0461,0.263,0.5127,0.1781,0.9042,0.0958,0.0441,0.9559
800787600,7e-4,9e-4,0.0168,0.9817,0.9761,0.0239,0.1265,0.8735
333756943,0.0024,8e-4,0.1548,0.8421,0.9981,0.0019,0.5661,0.4339
1057799351894982700,0.0719,0.0186,0.3213,0.5883,0.4093,0.5907,0.7433,0.2567
168656065,0.384,0.4371,0.141,0.0379,0.4856,0.5144,0.0251,0.9749
1552020588,0.0127,0.0296,0.3976,0.5601,0.9746,0.0254,0.137,0.863
1037900316933382100,0.0033,0.0021,0.071,0.9236,0.9838,0.0162,0.6433,0.3567
706036914,0.1032,0.0841,0.4058,0.4069,0.052,0.948,0.2515,0.7485
1024424549792792600,0.0204,0.4694,0.421,0.0892,0.9203,0.0797,0.0179,0.9821
1245466253067681800,0.0974,0.0954,0.3261,0.481,0.0152,0.9848,0.8646,0.1354
748515756900556800,0.0567,0.0091,0.1213,0.8129,0.7041,0.2959,0.9743,0.0257
1239041695825748e3,0.0363,0.0509,0.2122,0.7007,0.0795,0.9205,0.2199,0.7801
1233933844216197e3,0.2396,0.0845,0.3912,0.2847,0.2112,0.7888,0.1314,0.8686
1229104786089422800,0.0062,0.0078,0.0989,0.8871,0.9478,0.0522,0.2894,0.7106
1061328630784184300,0.0831,0.2465,0.5368,0.1336,0.4659,0.5341,0.0396,0.9604
1286078807867371500,0.0041,0.0314,0.2045,0.7601,0.9999,1e-4,0.0011,0.9989
80952639,0.0286,0.0451,0.7094,0.2169,0.0806,0.9194,0.473,0.527
1243663732577677300,0.0282,0.2199,0.4861,0.2658,0.9263,0.0737,0.0223,0.9777
1196133331433394200,0.0093,0.0292,0.1801,0.7814,0.9582,0.0418,0.141,0.859
135507594,0.099,0.009,0.138,0.754,0.8673,0.1327,0.8351,0.1649
620925077,0.1173,0.073,0.393,0.4167,0.0643,0.9357,0.8506,0.1494
802261879854952400,0.0037,0.0045,0.5577,0.4341,0.9877,0.0123,0.322,0.678
865912827256512500,0.0765,0.1342,0.2018,0.5874,0.6195,0.3805,0.1058,0.8942
3105046843,0.0962,0.4096,0.3981,0.0962,0.9766,0.0234,0.0219,0.9781
858796928,0.0381,0.0686,0.685,0.2084,0.9998,2e-4,0.0042,0.9958
231096506,0.0429,0.0972,0.6853,0.1746,0.9894,0.0106,0.0466,0.9534
782906640,3e-4,0.0026,0.0156,0.9815,1e-4,0.9999,0.0012,0.9988
589832850,0.0091,0.0064,0.1524,0.8322,0.0167,0.9833,0.2671,0.7329
535746302,0.21560000000000001,0.3361,0.2196,0.2286,0.5873,0.4127,0.2879,0.7121
4738367540,0.0614,0.2033,0.7,0.0352,0.0718,0.9282,0.0124,0.9876
1162271005949038600,0.0124,0.0073,0.245,0.7353,0.017,0.983,0.3418,0.6582
785261966080217100,0.0221,0.0081,0.1328,0.837,0.9355,0.0645,0.5823,0.4177
798212686311985200,0.1941,0.0406,0.1152,0.65,0.696,0.304,0.5121,0.4879
95351116,0.0085,0.0104,0.7448,0.2364,0.0042,0.9958,0.0132,0.9868
125946845,4e-4,4e-4,0.0374,0.9618,0.9968,0.0032,0.1037,0.8963
732590070,0.002,9e-4,0.0391,0.958,0.7565,0.2435,0.445,0.555
1250431937321164800,0.2788,0.1155,0.1823,0.4234,0.7318,0.2682,0.8593,0.1407
597583519,0.0068,0.112,0.7977,0.0835,0.0275,0.9725,0.0377,0.9623
18840206,0.0322,0.0832,0.7585,0.1261,0.9926,0.0074,0.1061,0.8939
375720051,0.0045,0.0139,0.5575,0.4241,0.9984,0.0016,0.3423,0.6577
2196758628,3e-4,0.0012,0.953,0.0455,0.9974,0.0026,0.19,0.81
22855346,0.0056,0.0353,0.1353,0.8238,0,1,0.0012,0.9988
17694503,0.3874,0.0797,0.1458,0.3871,0.9037,0.0963,0.4621,0.5379
798351157001388e3,0.3675,0.077,0.1172,0.4383,0.608,0.392,0.9601,0.0399
84208940,0.0333,0.0934,0.3954,0.4779,0.8344,0.1656,0.3474,0.6526
1155827885514657800,0.2971,0.166,0.3789,0.158,0.4283,0.5717,0.085,0.915
738070052990275600,0.0134,0.0089,0.256,0.7217,0.0073,0.9927,0.0794,0.9206
1324084519314620400,0.0744,0.0162,0.2055,0.7038,0.5622,0.4378,0.7256,0.2744
1083392389753028600,0.0315,0.0159,0.1621,0.7904,0.8748,0.1252,0.1453,0.8547
1500542882,0.2669,0.0644,0.3946,0.2742,0.9495,0.0505,0.137,0.863
970624431621013500,0.155,0.3524,0.3611,0.1315,0.9192,0.0808,0.2142,0.7858
2261000927,0.4263,0.2447,0.2192,0.1099,0.2628,0.7372,0.1468,0.8532
264399170,0.0133,0.0787,0.8152,0.0928,0.9982,0.0018,0.0411,0.9589
904353453933301800,0.0461,0.004,0.1097,0.8401,0.882,0.118,0.9413,0.0587
71349869,0.0081,0.004,0.095,0.8928,0.2366,0.7634,0.4947,0.5053
2638157677,0.0243,0.0106,0.251,0.7142,0.0407,0.9593,0.2006,0.7994
3079115211,0.4196,0.1633,0.2364,0.1807,0.8859,0.1141,0.5731,0.4269
702033150176841700,0.2911,0.1349,0.3187,0.2553,0.9775,0.0225,0.1874,0.8126
1294822390694842400,0.2287,0.2767,0.3643,0.1304,0.1877,0.8123,0.0518,0.9482
49258789,0.07,0.0485,0.1298,0.7516,0.1283,0.8717,0.7236,0.2764
16666108,0.0257,0.0184,0.2826,0.6733,0.0077,0.9923,0.2871,0.7129
818296185194561500,2e-4,1e-4,0.014,0.9857,0.0058,0.9942,0.5155,0.4845
46265267,0.2115,0.6027,0.1596,0.0262,0.0824,0.9176,0.0073,0.9927
786230298,0.1342,0.0287,0.066,0.7711,0.7572,0.2428,0.9055,0.0945
825387174950486e3,0.1588,0.0218,0.2269,0.5925,0.8101,0.1899,0.9506,0.0494
707509885,0.0231,0.1498,0.0399,0.7872,0.0064,0.9936,6e-4,0.9994
23615794,0.0317,0.0055,0.3338,0.629,0.378,0.622,0.9786,0.0214
1252821199907766300,0.0156,0.0041,0.2566,0.7237,0.0756,0.9244,0.8911,0.1089
254803029,0.053900000000000003,0.0416,0.0951,0.8094,0.9585,0.0415,0.1208,0.8792
1038866467,0.0773,0.0684,0.4334,0.4208,0.8887,0.1113,0.664,0.336
722840111780470800,0.7247,0.0829,0.0733,0.1192,0.8852,0.1148,0.5476,0.4524
2335720549,0.0029,0.0135,0.5969,0.3867,0.9913,0.0087,0.2176,0.7824
208576702,0.0089,0.0073,0.1066,0.8772,0.0477,0.9523,0.5547,0.4453
3301022112,0.0204,0.0052,0.1195,0.855,0.9741,0.0259,0.5989,0.4011
909592152593768400,0.0326,0.0737,0.2301,0.6637,0.9831,0.0169,0.2509,0.7491
949108783254515700,0.0604,0.7015,0.2356,0.0025,0.0395,0.9605,0.0012,0.9988
1100077425956925400,0.5368,0.2425,0.1521,0.0687,0.9888,0.0112,0.2504,0.7496
960189392580235300,0.0209,0.0127,0.2147,0.7517,0.9262,0.0738,0.8579,0.1421
1300470703632920600,0.135,0.4531,0.3508,0.0611,0.4212,0.5788,0.0142,0.9858
1261809728218435600,0.1777,0.267,0.4496,0.1057,0.3482,0.6518,0.1136,0.8864
763878152107987e3,0.0511,0.0258,0.3122,0.6109,0.0137,0.9863,0.5775,0.4225
2893370711,0.0212,0.0199,0.1292,0.8297,0.8263,0.1737,0.9518,0.0482
961667422582394900,0.0126,0.1842,0.666,0.1373,0.9884,0.0116,0.057,0.943
1048406090092671e3,0.0062,0.0015,0.0928,0.8995,0.0103,0.9897,0.1583,0.8417
2440009922,0.0057,0.0039,0.3815,0.6089,0.0142,0.9858,0.1675,0.8325
104940969,0.0133,0.0211,0.4368,0.5287,0.313,0.687,0.1267,0.8733
2558169413,0.0655,0.1886,0.5998,0.1461,0.8963,0.1037,0.0509,0.9491
2990624796,0.0031,0.0051,0.1386,0.8532,0.9956,0.0044,0.1714,0.8286
2766803427,0.0045,0.005,0.144,0.8465,0.0084,0.9916,0.444,0.556
21151367,0.0418,0.0245,0.3308,0.6028,0.1021,0.8979,0.1898,0.8102
884950836,0.0126,0.0297,0.3848,0.5729,0.0144,0.9856,0.3275,0.6725
94818581,0.0418,0.0222,0.1765,0.7596,0.8,0.2,0.8707,0.1293
806967979644567600,0.4651,0.0192,0.1102,0.4056,0.6621,0.3379,0.6747,0.3253
192680100,0.0522,0.0867,0.5898,0.2712,0.8285,0.1715,0.1927,0.8073
601535938,0.0015,0.0104,0.9476,0.0406,1,0,6e-4,0.9994
27303015,1e-4,0,0.0057,0.9942,0.9961,0.0039,0.8815,0.1185
45228692,0.0108,0.0763,0.5356,0.3773,0.0021,0.9979,0.0292,0.9708
2397043286,0.2926,0.2548,0.3431,0.1095,0.8036,0.1964,0.2215,0.7785
465432597,0.016,0.0799,0.7381,0.166,0.9508,0.0492,0.2312,0.7688
382164523,0.1602,0.1273,0.3247,0.3878,0.7745,0.2255,0.3854,0.6146
4064337137,0.0895,0.0658,0.2149,0.6298,0.1093,0.8907,0.2159,0.7841
705487721842798600,0.0133,0.0525,0.5882,0.3461,0.9833,0.0167,0.1126,0.8874
759279244832862200,0.0329,0.0399,0.4572,0.47,0.093,0.907,0.1271,0.8729
143490747,0.0746,0.0165,0.1134,0.7956,0.5927,0.4073,0.3795,0.6205
1132402733045100500,0.2261,0.4604,0.241,0.0724,0.0352,0.9648,0.0285,0.9715
1056600959370100700,0.3894,0.0293,0.0418,0.5395,0.9733,0.0267,0.01,0.99
1120373992483745800,0.0342,0.0092,0.2166,0.7401,0.0055,0.9945,0.0508,0.9492
536253121,0.0235,0.0111,0.172,0.7933,0.3444,0.6556,0.1458,0.8542
4132841,0.0012,0.001,0.0955,0.9022,0.9797,0.0203,0.1577,0.8423
345299892,0.0119,0.0055,0.0414,0.9412,0.2471,0.7529,0.4551,0.5449
563039484,0.0116,0.0266,0.4661,0.4958,0.1642,0.8358,0.1628,0.8372
895385166,0.0327,0.0082,0.2034,0.7557,0.5525,0.4475,0.8357,0.1643
2427302562,0.0213,0.2657,0.6115,0.1015,0.0041,0.9959,0.0027,0.9973
301461109,0.2247,0.124,0.4337,0.2176,0.8696,0.1304,0.3226,0.6774
279842758,0.0209,0.0165,0.3755,0.5871,0.9938,0.0062,0.2286,0.7714
2808922709,0.1013,0.0277,0.1822,0.6889,0.0228,0.9772,0.3929,0.6071
3941880252,0.0137,0.0014,0.0435,0.9414,0.8092,0.1908,0.8146,0.1854
3390430289,0.0793,0.1204,0.5433,0.257,0.0111,0.9889,0.6143,0.3857
484410560,0.0316,0.116,0.0838,0.7686,9e-4,0.9991,0.0013,0.9987
24642272,0.0112,0.0302,0.6267,0.3319,0.9626,0.0374,0.1674,0.8326
1179331,0.0011,0.0023,0.1693,0.8273,0.9949,0.0051,0.1363,0.8637
794226697,0.0037,0.1738,0.561,0.2615,0.7801,0.2199,0.1223,0.8777
360406171,0.0043,9e-4,0.0316,0.9632,0.0147,0.9853,0.1834,0.8166
936769356,0.0715,0.1294,0.564,0.235,0.0286,0.9714,0.135,0.865
768666112795959300,0.0847,0.3339,0.3494,0.232,0.9197,0.0803,0.1038,0.8962
38297159,0.013,0.0155,0.1645,0.8069,0.9961,0.0039,0.3,0.7
972572094612435e3,0.2069,0.0192,0.165,0.6089,0.7055,0.2945,0.9819,0.0181
86409646,0.2598,0.1198,0.4041,0.2164,0.9941,0.0059,0.1706,0.8294
627708347,0.719,0.2107,0.0523,0.018,0.9406,0.0594,0.1344,0.8656
288575706,0.0118,0.0363,0.0924,0.8595,0.7639,0.2361,0.0371,0.9629
25519387,0.3478,0.2861,0.2966,0.0695,0.1899,0.8101,0.0526,0.9474
233514244,5e-4,3e-4,0.1093,0.8899,0.9997,3e-4,0.4869,0.5131
3603476537,0.1038,0.0836,0.1664,0.6461,0.756,0.244,0.7786,0.2214
1255100631695712300,0.0132,0.0246,0.1083,0.8539,0.905,0.095,0.2905,0.7095
1523493061,0.0014,6e-4,0.0212,0.9769,0.9532,0.0468,0.6003,0.3997
1286775658442625e3,0.0215,0.0054,0.04,0.9331,0.9509,0.0491,0.7011,0.2989
702960756405493800,0.0413,0.029,0.4066,0.5231,0.9897,0.0103,0.5162,0.4838
311691936,0.0988,0.0084,0.1158,0.7771,0.1784,0.8216,0.282,0.718
3191520600,0.0022,0.0014,0.0695,0.9269,0.0031,0.9969,0.1463,0.8537
28453911,0.011,0.017,0.3914,0.5806,0.0181,0.9819,0.1606,0.8394
994699845112709100,0.0073,0.1082,0.6519,0.2326,0.0086,0.9914,0.0681,0.9319
97586706,0.0043,0.0277,0.6687,0.2992,0.0128,0.9872,0.0362,0.9638
708556971784474600,2e-4,3e-4,6e-4,0.9989,0.9427,0.0573,0.4886,0.5114
1492323230,0.6213,0.2527,0.0658,0.0601,0.6488,0.3512,0.0797,0.9203
3257082997,0.1881,0.0806,0.0899,0.6413,0.7032,0.2968,0.8088,0.1912
789955591984652300,0.024,0.0739,0.2692,0.6329,0.9999,1e-4,9e-4,0.9991
1218190419781136400,0.0039,0.063,0.8075,0.1256,0.9973,0.0027,0.0328,0.9672
2593370486,0.0236,0.0376,0.0738,0.865,0.6946,0.3054,0.8477,0.1523
478157338,3e-4,3e-4,0.0992,0.9002,0.9985,0.0015,0.2311,0.7689
1111099575010582500,0.0033,0.0607,0.7234,0.2125,0.9904,0.0096,0.0557,0.9443
50422413,0.2602,0.6233,0.0545,0.062,0.4055,0.5945,0.02,0.98
136855521,0.6897,0.2594,0.0394,0.0115,0.7277,0.2723,0.0065,0.9935
1153993507620708400,0.0052,0.0773,0.6352,0.2822,0.9968,0.0032,0.0237,0.9763
554888488,0.0082,0.0169,0.4803,0.4946,0.9902,0.0098,0.1555,0.8445
48223047,0.0242,0.0425,0.4154,0.5179,0.0372,0.9628,0.775,0.225
22154259,0,3e-4,0.0144,0.9854,0.9994,6e-4,0.1086,0.8914
1299382439073255400,0.0224,7e-4,0.0195,0.9573,0.8787,0.1213,0.5814,0.4186
726224642378108900,6e-4,9e-4,0.0744,0.9241,0.9883,0.0117,0.2606,0.7394
128360486,0.0444,0.0104,0.1135,0.8317,0.8289,0.1711,0.7811,0.2189
991733543427592200,0.0704,0.117,0.388,0.4247,0.1692,0.8308,0.1689,0.8311
26917457,0.0843,0.0374,0.1668,0.7115,0.9749,0.0251,0.4264,0.5736
2717369235,0.0318,0.1147,0.8004,0.053,0.0075,0.9925,0.0415,0.9585
710272880622354400,0.3424,0.1183,0.3,0.2394,0.6476,0.3524,0.5134,0.4866
2553765414,0.0028,0.0042,0.1265,0.8665,0.995,0.005,0.1548,0.8452
449274200,0.0224,0.0477,0.4635,0.4663,0.9897,0.0103,0.1109,0.8891
804560202,0.0111,0.0051,0.13,0.8538,0.9662,0.0338,0.3121,0.6879
27697345,0.2168,0.2553,0.3734,0.1545,0.3254,0.6746,0.133,0.867
1184972408144441300,4e-4,0.0024,0.1277,0.8694,0.0011,0.9989,0.0673,0.9327
308279712,0.0111,0.004,0.2786,0.7063,0.0957,0.9043,0.6286,0.3714
759145219346591700,0.1411,0.1494,0.6553,0.0541,0.0227,0.9773,0.0106,0.9894
333211931,0.0144,0.0094,0.4233,0.553,0.9869,0.0131,0.3214,0.6786
464189079,0.0686,0.0127,0.3711,0.5477,0.9733,0.0267,0.7897,0.2103
864323893225455600,0.1381,0.0085,0.1685,0.685,0.8251,0.1749,0.9265,0.0735
881574854180446200,0.0157,0.0053,0.0956,0.8833,0.955,0.045,0.2653,0.7347
400383768,2e-4,0.0012,0.0864,0.9123,0.9967,0.0033,0.4122,0.5878
191294208,0.0636,0.0264,0.1605,0.7495,0.6625,0.3375,0.7418,0.2582
1242570283568922600,0.0042,0.0241,0.2186,0.753,0.9933,0.0067,0.2763,0.7237
831287065643855900,0.0194,0.021,0.1718,0.7878,5e-4,0.9995,0.0057,0.9943
1241394183807647700,0.0699,0.0605,0.7527,0.1169,0.0187,0.9813,0.0272,0.9728
4699154862,8e-4,8e-4,0.067,0.9314,0.012,0.988,0.4161,0.5839
978719743786991600,0.1742,0.0656,0.3557,0.4045,0.927,0.073,0.2164,0.7836
1180514694,0.0054,0.0537,0.7153,0.2256,0.9998,2e-4,0.0017,0.9983
1195464474469253e3,0.0043,0.011,0.1986,0.7861,0.9996,4e-4,0.0049,0.9951
3240325433,0.0966,0.0591,0.434,0.4103,0.8498,0.1502,0.6531,0.3469
7072142,0.0118,0.0325,0.5393,0.4164,0.997,0.003,0.1209,0.8791
708116652320116700,0.0137,0.0101,0.1216,0.8546,0.9324,0.0676,0.5949,0.4051
286760522,0.0482,0.0749,0.7114,0.1655,0.0146,0.9854,0.3957,0.6043
913435732164956200,0.0346,0.0751,0.5932,0.2971,0.5651,0.4349,0.2448,0.7552
1136656067654557700,0.0101,0.0049,0.2113,0.7737,0.9939,0.0061,0.8798,0.1202
1108808100889399300,0.3657,0.0952,0.162,0.3771,0.1269,0.8731,0.2695,0.7305
2567949599,0.0076,0.0036,0.0917,0.8972,0.9835,0.0165,0.9138,0.0862
