id,est_p_age_le_18,est_p_age_19_29,est_p_age_30_39,est_p_age_ge_40,est_p_gender_male,est_p_gender_female,est_p_is_org,est_p_is_non_org
2896130092,0.3297,0.4111,0.2089,0.0503,0.2979,0.7021,0.0589,0.9411
289345749,0.0746,0.0824,0.3912,0.4517,0.8758,0.1242,0.2796,0.7204
2343110231,0.6864,0.1357,0.1048,0.0731,0.4056,0.5944,0.2191,0.7809
1098686758705942500,0.1715,0.0503,0.1808,0.5973,0.6706,0.3294,0.684,0.316
1103021110126354400,0.43120000000000003,0.1193,0.3744,0.0751,0.17,0.83,0.121,0.879
715876023049564200,0.1311,0.0402,0.2964,0.5323,0.9024,0.0976,0.6329,0.3671
1000607996219678700,0.1528,0.1069,0.3402,0.4001,0.8592,0.1408,0.4219,0.5781
4373854041,0.104,0.0216,0.1333,0.7411,0.9661,0.0339,0.8411,0.1589
759290912342237200,0.0261,0.1088,0.5009,0.3642,0.0356,0.9644,0.1035,0.8965
731253380316864500,0.0799,0.1677,0.3156,0.4367,0.944,0.056,0.3351,0.6649
15790677,0.0055,0.0312,0.5949,0.3683,0.9992,8e-4,0.1786,0.8214
979372228381986800,0.4453,0.2916,0.2356,0.0274,0.2186,0.7814,0.0491,0.9509
2724352463,0.0908,0.0985,0.4079,0.4027,0.9825,0.0175,0.7256,0.2744
1009383027796054e3,0.2055,0.1926,0.4404,0.1615,0.9875,0.0125,0.4866,0.5134
3339360833,0.0932,0.0727,0.3517,0.4824,0.927,0.073,0.5639,0.4361
4055595382,0.0182,0.0218,0.1909,0.769,0.9951,0.0049,0.1989,0.8011
992679096,0.5083,0.2906,0.0863,0.1148,0.59,0.41,0.153,0.847
904660297285283800,0.2434,0.1918,0.3433,0.2216,0.9478,0.0522,0.4379,0.5621
1247141793700946e3,0.1929,0.0565,0.2904,0.4602,0.813,0.187,0.9647,0.0353
3374126355,0.0338,0.0196,0.3838,0.5629,0.9945,0.0055,0.2155,0.7845
169602941,0.1056,0.2549,0.3642,0.2752,0.5725,0.4275,0.0627,0.9373
1233092559737622500,0.4325,0.1748,0.2302,0.1625,0.7629,0.2371,0.3942,0.6058
2725704150,0.0205,0.0207,0.5056,0.4532,0.9925,0.0075,0.3183,0.6817
1302890314437398500,0.1173,0.0365,0.2168,0.6294,0.4625,0.5375,0.8028,0.1972
738266872496414700,0.0081,0.0027,0.2293,0.7599,0.9357,0.0643,0.787,0.213
217647141,0.1222,0.2247,0.421,0.2322,0.8697,0.1303,0.1102,0.8898
970767122048651300,0.0341,0.0161,0.4271,0.5227,0.9754,0.0246,0.4351,0.5649
989996926195167200,0.1101,0.0456,0.2396,0.6047,0.9084,0.0916,0.4699,0.5301
2944500178,0.0129,0.0206,0.3593,0.6072,0.7993,0.2007,0.4296,0.5704
611914232,0.4192,0.3199,0.1341,0.1267,0.4188,0.5812,0.1109,0.8891
4838411733,0.0017,0.0017,0.1802,0.8163,0.9967,0.0033,0.3215,0.6785
1043857143949086700,0.0803,0.0437,0.2574,0.6186,0.8337,0.1663,0.4139,0.5861
1158443499391504400,0.0285,0.3216,0.5121,0.1379,0.9955,0.0045,0.0159,0.9841
1068410939060428800,0.0283,0.0144,0.2655,0.6919,0.9471,0.0529,0.4253,0.5747
946990190693843e3,0.2164,0.2383,0.4284,0.1169,0.9702,0.0298,0.251,0.749
902866234303291400,0.1737,0.1367,0.4535,0.2361,0.9887,0.0113,0.4241,0.5759
927636645851037700,0.0127,0.0353,0.5393,0.4127,0.9904,0.0096,0.0714,0.9286
1079533764584321e3,0.2245,0.305,0.3198,0.1507,0.9242,0.0758,0.142,0.858
1015307867237306400,0.0052,0.0148,0.3547,0.6253,0.9945,0.0055,0.1677,0.8323
2938544519,0.181,0.397,0.2398,0.1823,0.1034,0.8966,0.0422,0.9578
555040488,0.0666,0.0411,0.5152,0.3772,0.0334,0.9666,0.3873,0.6127
727927424747511800,0.1309,0.2179,0.251,0.4002,0.0449,0.9551,0.0743,0.9257
1292571820042969e3,0.4538,0.3652,0.14,0.0411,0.0737,0.9263,0.0972,0.9028
939763274823987200,0.4211,0.319,0.1588,0.1012,0.6518,0.3482,0.544,0.456
1161361725280702500,0.021,0.0071,0.1803,0.7916,0.8769,0.1231,0.7746,0.2254
4819481356,0.1343,0.0639,0.4247,0.3771,0.4713,0.5287,0.3661,0.6339
1208431288165777400,0.0455,0.0123,0.2845,0.6577,0.9601,0.0399,0.7134,0.2866
2783867330,0.0038,0.0084,0.3997,0.5881,0.9981,0.0019,0.3294,0.6706
732853124881338400,0.2197,0.1012,0.3936,0.2856,0.4696,0.5304,0.3096,0.6904
201633947,0.0193,0.0173,0.3593,0.6041,0.9825,0.0175,0.7055,0.2945
1234527515227697200,0.2366,0.0957,0.2685,0.3992,0.6484,0.3516,0.7022,0.2978
969880908869390300,0.0177,0.0367,0.5682,0.3774,0.9883,0.0117,0.2709,0.7291
